PID;Produktionsnummer;BVNr.;HST;Signatur;MARC 773 $g;Sortierdatum;Datumsangabe MARC 260 $c;Creationdate
975857;ubr00031;VHVO 111;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 111 (1971);00/NA 8784-111;vol.111 (1971);1971;1971;19.03.2010
973749;ubr00029;VHVO 112;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 112 (1972);00/NA 8784-112;vol.112 (1972);1972;1972;19.03.2010
996741;ubr00048;VHVO 113;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 113 (1973);50/NA 8785-113;vol.113 (1973);1973;1973;22.03.2010
1293526;ubr00010;VHVO 114;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 114 (1974);00/NA 8784-114;vol.114 (1974);1974;1974;18.05.2010
791716;ubr01800;VHVO 115;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 115 (1975);50/NA 8785-115;vol.115 (1975);1975;1975;08.02.2010
1210661;ubr00014;VHVO 90,1;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 90,1 (1975) Register zu Band 76-90;00/NA 8784-90,1;vol.90,1 (1975);1975;1975;03.05.2010
1304155;ubr00022;VHVO 116;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 116 (1976);00/NA 8784-116;vol.116 (1976);1976;1976;18.05.2010
971581;ubr00027;VHVO 117;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 117 (1977);00/NA 8784-117;vol.117 (1977);1977;1977;19.03.2010
1325666;ubr01909;VHVO 118;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 118 (1978);00/NA 8784-118;vol.118 (1978);1978;1978;18.05.2010
1228331;ubr03311;VHVO 119;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 119 (1979);00/NA 8784-119;vol.119 (1979);1979;1979;04.05.2010
982240;ubr00039;VHVO 120;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 120 (1980);00/NA 8784-120;vol. 120 (1980);1980;1980;19.03.2010
1223758;ubr03309;VHVO 121;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 121 (1981);00/NA 8784-121;vol.121 (1981);1981;1981;04.05.2010
901995;ubr01245;VHVO 122;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 122 (1982);00/NA 8784-122;vol.122 (1982);1982;1982;01.03.2010
1220708;ubr03308;VHVO 123;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 123 (1983);00/NA 8784-123;vol.123 (1983);1983;1983;04.05.2010
794196;ubr01256;VHVO 124;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 124 (1984);00/NA 8784-124;vol.124 (1984);1984;1984;08.02.2010
1001577;ubr00050;VHVO 125;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 125 (1985);;vol.125 (1985);1985;1985;22.03.2010
1109591;ubr02688;VHVO 126;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 126 (1986);50/NA 8785-126;vol.126 (1986);1986;1986;19.04.2010
1226277;ubr03310;VHVO 120,1;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 120,1 (1986) Register zu Band 111-120;00/NA 8784-120,1;vol.120,1 (1986);1986;1986;04.05.2010
1314610;ubr00051;VHVO 127;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 127 (1987);50/NA 8785-127;vol.127 (1987);1987;1987;18.05.2010
1006582;ubr01258;VHVO 125,1;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 125,1 (1987) Oberpfalz-Bibliographie 1976-1984;;vol.125,1 (1985);1987;1987;23.03.2010
1107021;ubr02687;VHVO 128;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 128 (1988);;vol.128 (1988);1988;1988;19.04.2010
1425154;ubr03307;VHVO 129;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 129 (1989);00/NA 8784-129;vol.129 (1989);1989;1989;24.06.2010
1378706;ubr01750;VHVO 130;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 130 (1990);00/NA 8784-130;vol.130 (1990);1990;1990;25.05.2010
1375860;ubr01749;VHVO 131;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 131 (1991);50/NA 8784-131;vol.131 (1991);1991;1991;25.05.2010
1051823;ubr01748;VHVO 132;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 132 (1992);00/NA 8784-132;vol.132 (1992);1992;1992;06.04.2010
1043681;ubr01747;VHVO 133;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 133 (1993);00/NA 8784-133;vol.133 (1993);1993;1993;06.04.2010
1049112;ubr01746;VHVO 134;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 134 (1994);50/NA 8785-134;vol.134 (1994);1994;1994;06.04.2010
1422376;ubr01257;VHVO 135;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 135 (1995);00/NA 8784-135;vol.135 (1995);1995;1995;24.06.2010
1046386;ubr01745;VHVO 136;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 136 (1996);50/NA 8785-136;vol.136 (1996);1996;1996;06.04.2010
1381096;ubr01751;VHVO 137;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 137 (1997);00/NA 8784-137;vol.137 (1997);1997;1997;25.05.2010
1055972;ubr01752;VHVO 138;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 138 (1998);50/NA 8785-138;vol.138 (1998);1998;1998;07.04.2010
1060476;ubr01753;VHVO 139;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 139 (1999);50/NA 8785-139;vol.139 (1999);1999;1999;07.04.2010
963500;ubr00004;VHVO 140;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 140 (2000);00/NA 8784-140;vol.140 (2000);2000;2000;18.03.2010
1192798;ubr01754;VHVO 141;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 141 (2001);50/NA 8785-141;vol.141 (2001);2001;2001;30.04.2010
1063113;ubr01755;VHVO 142;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 142 (2002);00/NA 8784-142;vol.142 (2002);2002;2002;07.04.2010
1372806;ubr01744;VHVO 143;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 143 (2003);00/NA 8784-143;vol.143 (2003);2003;2003;25.05.2010
1319063;ubr01739;VHVO 144;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 144 (2004);240/NA 8783-144;vol.144 (2004);2004;2004;18.05.2010
797241;ubr01740;VHVO 145;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 145 (2005);00/NA 8784-145;vol.145 (2005);2005;2005;08.02.2010
1011508;ubr01741;VHVO 146;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 146 (2006);00/NA 8784-146;vol.146 (2006);2006;2006;23.03.2010
